#total cols:12x35 = 420
#actual need: 3x35 = 105
#at least: 2x35 = 70 contracts.
#------------------------------------
#we can get the main by compare two/three contracts behind current month and #even calculate index# using 3 main contracts
#
#for cu.zn... main in curr+1~+3--
#
#data flow estimation:
#105 contracts * 2ticks/persecond * 3600second/hour * (4+8)/2 avghours * 250daysperyear * sizeof(CThostFtdcDepthMarketDataField)about 200B(50x4)
#
#105 * 2tics * 200size *8bps/1024 = 328kbps  net speed
#
#total data: 105*2*200size persecond*3600*6 * 250/1024/1024= 211GB x 0.13(<50TB) = ￥20
#
#
01,cu--01,cu--02,cu--03,cu--04,cu--05,cu--06,cu--07,cu--08,cu--09,cu--10,cu--11,cu--12
02,al--01,al--02,al--03,al--04,al--05,al--06,al--07,al--08,al--09,al--10,al--11,al--12
03,sn--01,sn--02,sn--03,sn--04,sn--05,sn--06,sn--07,sn--08,sn--09,sn--10,sn--11,sn--12
04,pb--01,pb--02,pb--03,pb--04,pb--05,pb--06,pb--07,pb--08,pb--09,pb--10,pb--11,pb--12
05,zn--01,zn--02,zn--03,zn--04,zn--05,zn--06,zn--07,zn--08,zn--09,zn--10,zn--11,zn--12
06,ni--01,ni--02,ni--03,ni--04,ni--05,ni--06,ni--07,ni--08,ni--09,ni--10,ni--11,ni--12
#au ag shifting half year
07,------,------,------,------,------,au--06,------,------,------,------,------,au--12
08,------,------,------,------,------,ag--06,------,------,------,------,------,ag--12
09,rb--01,------,------,------,rb--05,------,------,------,------,rb--10,------,------
10,------,------,bu--03,------,------,bu--06,------,------,bu--09,------,------,bu--12
11,ru--01,------,------,------,ru--05,------,------,------,ru--09,------,------,------
//DCE--algri
12,m--01,-----,-----,-----,m--05,-----,-----,-----,m--09,-----,-----,-----
13,y--01,-----,-----,-----,y--05,-----,-----,-----,y--09,-----,-----,-----
#BEAN1,BEAN2B
14,a--01,-----,-----,-----,a--05,-----,-----,-----,a--09,-----,-----,-----
15,p--01,-----,-----,-----,p--05,-----,-----,-----,p--09,-----,-----,-----
16,c--01,-----,-----,-----,c--05,-----,-----,-----,c--09,-----,-----,-----
17,cs--01,-----,-----,-----,cs--05,-----,-----,-----,cs--09,-----,-----,-----
18,jd--01,-----,-----,-----,jd--03,-----,-----,-----,jd--09,-----,-----,-----
#indus
19,l--01,-----,-----,-----,l--05,-----,-----,-----,l--09,-----,-----,-----
20,v--01,-----,-----,-----,v--05,-----,-----,-----,v--09,-----,-----,-----
21,j--01,-----,-----,-----,j--05,-----,-----,-----,j--09,-----,-----,-----
22,jm--01,-----,-----,-----,jm--05,-----,-----,-----,jm--09,-----,-----,-----
23,pp--01,-----,-----,-----,pp--05,-----,-----,-----,pp--09,-----,-----,-----
#5 7 9 11 1---MAY BE WE SHOULD Get all to guartee
24,i--01,-----,i--03,-----,i--05,-----,i--07,-----,i--09,-----,i--11,-----
//CZCE
25,SR-01,-----,-----,-----,SR-05,-----,-----,-----,SR-09,-----,-----,-----
26,CF-01,-----,-----,-----,CF-05,-----,-----,-----,CF-09,-----,-----,-----
#TC before
27,ZC-01,-----,ZC-03,-----,ZC-05,-----,ZC-07,-----,ZC-09,-----,ZC-11,-----
28,FG-01,-----,-----,-----,FG-05,-----,-----,-----,FG-09,-----,-----,-----
29,MA-01,-----,-----,-----,MA-05,-----,-----,-----,MA-09,-----,-----,-----
30,TA-01,-----,-----,-----,TA-05,-----,-----,-----,TA-09,-----,-----,-----
31,WR-01,-----,-----,-----,WR-05,-----,-----,-----,WR-09,-----,-----,-----
32,OI-01,-----,-----,-----,OI-05,-----,-----,-----,OI-09,-----,-----,-----
33,RO-01,-----,-----,-----,RO-05,-----,-----,-----,R--09,-----,-----,-----
#may changed in the future
34,AP-01,-----,-----,-----,AP-05,-----,-----,-----,-----,AP-10,-----,-----
#guimeng
35,SM-01,-----,-----,-----,SM-05,-----,-----,-----,SM-09,-----,-----,-----
